nodo_id,etiqueta,grado,estado
video:qFsSnnRdJBg,Avanza construcción de la Estrategia Nacional de Datos Abiertos,0,aislado observado
video:qrdEegnTnaY,XVII Promoción de Brigadas PROVIAL,0,aislado observado
video:rNpBtQXUMbE,PMT es ejemplo en Guatemala,0,aislado observado
video:rQEb4el3Lok,"Policía Nacional Civil en busca de mareros, imitadores y colaboradores de grupos delictivos",0,aislado observado
video:rSQKmOX1Tfc,TU VIDA VALE  PROVIAL  TIEMPO AZUL & PAOLA PÉRLOP,0,aislado observado
video:rjFut_yJcr8,Ministro de CIV conversó sobre los retos  actuales de la infraestructura vial en Guatemala,0,aislado observado
video:s0eco-BofOs,¿Quiénes pagan más en Centroamérica?,0,aislado observado
video:sAPrXzrdstM,Funciones del Ministerio de Gobernación,0,aislado observado
video:soZMwC0Cj18,Lluvias causan inundaciones y deslizamiento en Alta Verapaz,0,aislado observado
video:tEfZlrP4L5I,#EnVivoDCA | Conferencia de Prensa del Gobierno de Guatemala,0,aislado observado
